street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,price_per_sqft
6768 MEDORA DR,NORTH HIGHLANDS,95660,CA,3,2,1152,Residential,2008-05-21,134555,38.691161,-121.37192,116.80121527777777
3100 EXPLORER DR,SACRAMENTO,95827,CA,3,2,1380,Residential,2008-05-21,136500,38.566663,-121.332644,98.91304347826087
7944 DOMINION WAY,ELVERTA,95626,CA,3,2,1116,Residential,2008-05-21,138750,38.713182,-121.411227,124.32795698924731
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,95758,CA,2,2,1039,Condo,2008-05-21,141000,38.423251,-121.444489,135.70741097208855
3920 SHINING STAR DR,SACRAMENTO,95823,CA,3,2,1418,Residential,2008-05-21,146250,38.48742,-121.462459,103.13822284908322
5031 CORVAIR ST,NORTH HIGHLANDS,95660,CA,3,2,1082,Residential,2008-05-21,147308,38.658246,-121.375469,136.1441774491682
7661 NIXOS WAY,SACRAMENTO,95823,CA,4,2,1472,Residential,2008-05-21,148750,38.479553,-121.463317,101.05298913043478
7044 CARTHY WAY,SACRAMENTO,95828,CA,4,2,1146,Residential,2008-05-21,149593,38.49857,-121.420925,130.5349040139616
2442 LARKSPUR LN,SACRAMENTO,95825,CA,1,1,760,Condo,2008-05-21,150000,38.58514,-121.403736,197.3684210526316
4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,95835,CA,2,2,1304,Condo,2008-05-21,152000,38.658812,-121.542345,116.56441717791411
2178 63RD AVE,SACRAMENTO,95822,CA,3,2,1207,Residential,2008-05-21,154000,38.493955,-121.48966,127.5890637945319
8718 ELK WAY,ELK GROVE,95624,CA,3,2,1056,Residential,2008-05-21,156896,38.41653,-121.379653,148.57575757575756
5708 RIDGEPOINT DR,ANTELOPE,95843,CA,2,2,1043,Residential,2008-05-21,161250,38.72027,-121.331555,154.6021093000959
7315 KOALA CT,NORTH HIGHLANDS,95660,CA,4,2,1587,Residential,2008-05-21,161500,38.699251,-121.371414,101.7643352236925
2622 ERIN DR,SACRAMENTO,95833,CA,4,1,1120,Residential,2008-05-21,164000,38.613765,-121.488694,146.42857142857142
8421 SUNBLAZE WAY,SACRAMENTO,95823,CA,4,2,1580,Residential,2008-05-21,165000,38.450543,-121.432538,104.43037974683544
7420 ALIX PKWY,SACRAMENTO,95823,CA,4,1,1955,Residential,2008-05-21,166357,38.489405,-121.452811,85.09309462915601
3820 NATOMA WAY,SACRAMENTO,95838,CA,4,2,1656,Residential,2008-05-21,166357,38.636748,-121.422159,100.45712560386474
4431 GREEN TREE DR,SACRAMENTO,95823,CA,3,2,1477,Residential,2008-05-21,168000,38.499954,-121.454469,113.74407582938389
9417 SARA ST,ELK GROVE,95624,CA,3,2,1188,Residential,2008-05-21,170000,38.415518,-121.370527,143.0976430976431
8299 HALBRITE WAY,SACRAMENTO,95828,CA,4,2,1590,Residential,2008-05-21,173000,38.473814,-121.4,108.80503144654088
7223 KALLIE KAY LN,SACRAMENTO,95823,CA,3,2,1463,Residential,2008-05-21,174250,38.477553,-121.419463,119.10457963089542
8156 STEINBECK WAY,SACRAMENTO,95828,CA,4,2,1714,Residential,2008-05-21,174313,38.474853,-121.406326,101.69953325554259
7957 VALLEY GREEN DR,SACRAMENTO,95823,CA,3,2,1185,Residential,2008-05-21,178480,38.465184,-121.434925,150.61603375527426
1122 WILD POPPY CT,GALT,95632,CA,3,2,1406,Residential,2008-05-21,178760,38.287789,-121.294715,127.14082503556187
4520 BOMARK WAY,SACRAMENTO,95842,CA,4,2,1943,Multi-Family,2008-05-21,179580,38.665724,-121.358576,92.42408646423057
9012 KIEFER BLVD,SACRAMENTO,95826,CA,3,2,1172,Residential,2008-05-21,181000,38.547011,-121.366217,154.4368600682594
5332 SANDSTONE ST,CARMICHAEL,95608,CA,3,1,1152,Residential,2008-05-21,181872,38.662105,-121.313945,157.875
5993 SAWYER CIR,SACRAMENTO,95823,CA,4,3,1851,Residential,2008-05-21,182587,38.4473,-121.435218,98.64235548352242
4844 CLYDEBANK WAY,ANTELOPE,95843,CA,3,2,1215,Residential,2008-05-21,182716,38.714609,-121.347887,150.38353909465022
306 CAMELLIA WAY,GALT,95632,CA,3,2,1130,Residential,2008-05-21,182750,38.260443,-121.297864,161.72566371681415
9021 MADISON AVE,ORANGEVALE,95662,CA,4,2,1603,Residential,2008-05-21,183200,38.664186,-121.217511,114.28571428571429
404 6TH ST,GALT,95632,CA,3,1,1479,Residential,2008-05-21,188741,38.251808,-121.302493,127.61392832995267
8317 SUNNY CREEK WAY,SACRAMENTO,95823,CA,3,2,1420,Residential,2008-05-21,189000,38.459041,-121.424644,133.09859154929578
2617 BASS CT,SACRAMENTO,95826,CA,3,2,1280,Residential,2008-05-21,192067,38.560767,-121.377471,150.05234375
7005 TIANT WAY,ELK GROVE,95758,CA,3,2,1586,Residential,2008-05-21,194000,38.422811,-121.423285,122.3203026481715
7895 CABER WAY,ANTELOPE,95843,CA,3,2,1362,Residential,2008-05-21,194818,38.711279,-121.393449,143.03817914831131
7624 BOGEY CT,SACRAMENTO,95828,CA,4,4,2162,Multi-Family,2008-05-21,195000,38.48009,-121.415102,90.19426456984274
6930 HAMPTON COVE WAY,SACRAMENTO,95823,CA,3,2,1266,Residential,2008-05-21,198000,38.44004,-121.421012,156.39810426540285
8708 MESA BROOK WAY,ELK GROVE,95624,CA,4,2,1715,Residential,2008-05-21,199500,38.44076,-121.385792,116.3265306122449
120 GRANT LN,FOLSOM,95630,CA,3,2,1820,Residential,2008-05-21,200000,38.687742,-121.17104,109.89010989010988
5907 ELLERSLEE DR,CARMICHAEL,95608,CA,3,1,936,Residential,2008-05-21,200000,38.664468,-121.32683,213.67521367521368
170 PENHOW CIR,SACRAMENTO,95834,CA,3,2,1511,Residential,2008-05-21,208000,38.653439,-121.535169,137.65718067504963
8345 STAR THISTLE WAY,SACRAMENTO,95823,CA,4,2,1590,Residential,2008-05-21,212864,38.454349,-121.439239,133.87672955974844
9080 FRESCA WAY,ELK GROVE,95758,CA,4,2,1596,Residential,2008-05-21,221000,38.427818,-121.424026,138.47117794486215
391 NATALINO CIR,SACRAMENTO,95835,CA,2,2,1341,Residential,2008-05-21,221000,38.67307,-121.506373,164.80238627889634
8373 BLACKMAN WAY,ELK GROVE,95624,CA,5,3,2136,Residential,2008-05-21,223058,38.435436,-121.394536,104.42790262172285
9837 CORTE DORADO CT,ELK GROVE,95624,CA,4,2,1616,Residential,2008-05-21,227887,38.400676,-121.38101,141.01918316831683
5037 J PKWY,SACRAMENTO,95823,CA,3,2,1478,Residential,2008-05-21,231477,38.491399,-121.443547,156.6150202976996
10245 LOS PALOS DR,RANCHO CORDOVA,95670,CA,3,2,1287,Residential,2008-05-21,234697,38.593699,-121.31089,182.35975135975136
6613 NAVION DR,CITRUS HEIGHTS,95621,CA,4,2,1277,Residential,2008-05-21,235000,38.702855,-121.31308,184.0250587314017
2887 AZEVEDO DR,SACRAMENTO,95833,CA,4,2,1448,Residential,2008-05-21,236000,38.618457,-121.509439,162.98342541436463
9186 KINBRACE CT,SACRAMENTO,95829,CA,4,3,2235,Residential,2008-05-21,236685,38.463355,-121.358936,105.8993288590604
4243 MIDDLEBURY WAY,MATHER,95655,CA,3,2,2093,Residential,2008-05-21,237800,38.547991,-121.280483,113.61681796464406
1028 FALLON PLACE CT,RIO LINDA,95673,CA,3,2,1193,Residential,2008-05-21,240122,38.693818,-121.441153,201.27577535624476
4804 NORIKER DR,ELK GROVE,95757,CA,3,2,2163,Residential,2008-05-21,242638,38.400974,-121.448424,112.17660656495607
7713 HARVEST WOODS DR,SACRAMENTO,95828,CA,3,2,1269,Residential,2008-05-21,244000,38.478198,-121.412911,192.27738376674546
6913 RICHEVE WAY,SACRAMENTO,95828,CA,3,1,958,Residential,2008-05-21,244960,38.502519,-121.420769,255.69937369519832
8636 TEGEA WAY,ELK GROVE,95624,CA,5,3,2508,Residential,2008-05-21,245918,38.443832,-121.382087,98.05342902711324
5448 MAIDSTONE WAY,CITRUS HEIGHTS,95621,CA,3,2,1305,Residential,2008-05-21,250000,38.665395,-121.293288,191.57088122605364
18 OLLIE CT,ELK GROVE,95758,CA,4,2,1591,Residential,2008-05-21,250000,38.444909,-121.412345,157.13387806411063
4010 ALEX LN,CARMICHAEL,95608,CA,2,2,1326,Condo,2008-05-21,250134,38.637028,-121.312963,188.63800904977376
4901 MILLNER WAY,ELK GROVE,95757,CA,3,2,1843,Residential,2008-05-21,254200,38.38692,-121.447349,137.927292457949
4818 BRITTNEY LEE CT,SACRAMENTO,95841,CA,4,2,1921,Residential,2008-05-21,254200,38.653917,-121.34218,132.3269130661114
5529 LAGUNA PARK DR,ELK GROVE,95758,CA,5,3,2790,Residential,2008-05-21,258000,38.42568,-121.438062,92.47311827956989
230 CANDELA CIR,SACRAMENTO,95835,CA,3,2,1541,Residential,2008-05-21,260000,38.656251,-121.547572,168.72160934458145
4900 71ST ST,SACRAMENTO,95820,CA,3,1,1018,Residential,2008-05-21,260014,38.53151,-121.421089,255.4165029469548
4236 NATOMAS CENTRAL DR,SACRAMENTO,95834,CA,3,2,1672,Condo,2008-05-21,265000,38.648879,-121.544023,158.4928229665072
5615 LUPIN LN,POLLOCK PINES,95726,CA,3,2,1380,Residential,2008-05-21,265000,38.708315,-120.603872,192.02898550724638
5625 JAMES WAY,SACRAMENTO,95822,CA,3,1,975,Residential,2008-05-21,271742,38.523947,-121.484946,278.7097435897436
7842 LAHONTAN CT,SACRAMENTO,95829,CA,4,3,2372,Residential,2008-05-21,273750,38.472976,-121.318633,115.40893760539629
6850 21ST ST,SACRAMENTO,95822,CA,3,2,1446,Residential,2008-05-21,275086,38.502194,-121.490795,190.23928077455048
2900 BLAIR RD,POLLOCK PINES,95726,CA,2,2,1284,Residential,2008-05-21,280908,38.75485,-120.60476,218.77570093457945
2064 EXPEDITION WAY,SACRAMENTO,95832,CA,4,3,3009,Residential,2008-05-21,280987,38.474099,-121.490711,93.3821867730143
2912 NORCADE CIR,SACRAMENTO,95826,CA,8,4,3612,Multi-Family,2008-05-21,282400,38.559505,-121.364839,78.18383167220377
9507 SEA CLIFF WAY,ELK GROVE,95758,CA,4,2,2056,Residential,2008-05-21,285000,38.410992,-121.479043,138.61867704280155
8882 AUTUMN GOLD CT,ELK GROVE,95624,CA,4,2,1993,Residential,2008-05-21,287417,38.4439,-121.37255,144.21324636226794
5322 WHITE LOTUS WAY,ELK GROVE,95757,CA,3,2,1857,Residential,2008-05-21,291000,38.391538,-121.442596,156.7043618739903
1838 CASTRO WAY,SACRAMENTO,95818,CA,2,1,1126,Residential,2008-05-21,292024,38.556098,-121.490787,259.34635879218473
10158 CRAWFORD WAY,SACRAMENTO,95827,CA,4,4,2213,Multi-Family,2008-05-21,297000,38.5703,-121.315735,134.2069588793493
7731 MASTERS ST,ELK GROVE,95758,CA,5,3,2494,Residential,2008-05-21,297000,38.442031,-121.410873,119.08580593424219
4925 PERCHERON DR,ELK GROVE,95757,CA,3,2,1843,Residential,2008-05-21,298000,38.40154,-121.447649,161.69289202387412
2010 PROMONTORY POINT LN,GOLD RIVER,95670,CA,2,2,1520,Residential,2008-05-21,299000,38.62869,-121.261669,196.71052631578948
4727 SAVOIE WAY,SACRAMENTO,95835,CA,5,3,2800,Residential,2008-05-21,304037,38.658182,-121.549521,108.58464285714285
8664 MAGNOLIA HILL WAY,ELK GROVE,95624,CA,4,2,2309,Residential,2008-05-21,311000,38.442352,-121.389675,134.69034213945432
9570 HARVEST ROSE WAY,SACRAMENTO,95827,CA,5,3,2367,Residential,2008-05-21,315537,38.555993,-121.340352,133.30671736375157
4359 CREGAN CT,RANCHO CORDOVA,95742,CA,5,4,3516,Residential,2008-05-21,320000,38.545128,-121.224922,91.01251422070534
8929 SUTTERS GOLD DR,SACRAMENTO,95826,CA,4,3,1914,Residential,2008-05-21,328360,38.550848,-121.370224,171.5569487983281
8025 PEERLESS AVE,ORANGEVALE,95662,CA,2,1,1690,Residential,2008-05-21,334150,38.71147,-121.216214,197.72189349112426
4620 WELERA WAY,ELK GROVE,95757,CA,3,3,2725,Residential,2008-05-21,335750,38.398609,-121.450148,123.21100917431193
9723 TERRAPIN CT,ELK GROVE,95757,CA,4,3,2354,Residential,2008-05-21,335750,38.403492,-121.430224,142.62956669498726
100 REBECCA WAY,FOLSOM,95630,CA,3,2,2185,Residential,2008-05-21,344250,38.68479,-121.149199,157.55148741418765
9488 OAK VILLAGE WAY,ELK GROVE,95758,CA,4,2,1801,Residential,2008-05-21,346210,38.41333,-121.404999,192.23209328151026
8495 DARTFORD DR,SACRAMENTO,95823,CA,3,3,1961,Residential,2008-05-21,347029,38.448507,-121.421346,176.9653238143804
6708 PONTA DO SOL WAY,ELK GROVE,95757,CA,4,2,3134,Residential,2008-05-21,347650,38.380635,-121.425538,110.92852584556478
4143 SEA MEADOW WAY,SACRAMENTO,95823,CA,4,3,1915,Residential,2008-05-21,351300,38.46534,-121.457519,183.44647519582244
15300 MURIETA SOUTH PKWY,RANCHO MURIETA,95683,CA,4,3,2734,Residential,2008-05-21,370500,38.4874,-121.075129,135.5157278712509
11215 SHARRMONT CT,WILTON,95693,CA,3,2,2110,Residential,2008-05-21,372000,38.35062,-121.228349,176.30331753554503
7105 DANBERG WAY,ELK GROVE,95757,CA,5,3,3164,Residential,2008-05-21,375000,38.4019,-121.420388,118.52085967130215
5579 JERRY LITELL WAY,SACRAMENTO,95835,CA,5,3,3599,Residential,2008-05-21,381300,38.677126,-121.500519,105.94609613781606
1050 FOXHALL WAY,SACRAMENTO,95831,CA,4,2,2054,Residential,2008-05-21,381942,38.509819,-121.519661,185.95034079844206
7837 ABBINGTON WAY,ANTELOPE,95843,CA,4,2,1830,Residential,2008-05-21,387731,38.709873,-121.339472,211.87486338797814
1300 F ST,SACRAMENTO,95814,CA,3,3,1627,Residential,2008-05-21,391000,38.58355,-121.487289,240.319606637984
6801 RAWLEY WAY,ELK GROVE,95757,CA,4,3,3440,Residential,2008-05-21,394470,38.408351,-121.423925,114.67151162790698
1693 SHELTER COVE DR,GREENWOOD,95635,CA,3,2,2846,Residential,2008-05-21,395000,38.945357,-120.908822,138.7912860154603
9361 WADDELL LN,ELK GROVE,95624,CA,4,3,2359,Residential,2008-05-21,400186,38.450829,-121.349928,169.64222128020347
10 SEA FOAM CT,SACRAMENTO,95831,CA,3,3,2052,Residential,2008-05-21,415000,38.487885,-121.545947,202.24171539961014
6945 RIO TEJO WAY,ELK GROVE,95757,CA,5,3,3433,Residential,2008-05-21,425000,38.385638,-121.422616,123.79842703175065
4186 TULIP PARK WAY,RANCHO CORDOVA,95742,CA,5,3,3615,Residential,2008-05-21,430000,38.550617,-121.23526,118.94882434301522
483 ARCADE BLVD,SACRAMENTO,95815,CA,4,2,1316,Residential,2008-05-20,89000,38.623571,-121.454884,67.62917933130699
671 SONOMA AVE,SACRAMENTO,95815,CA,3,1,1337,Residential,2008-05-20,90000,38.622953,-121.450142,67.31488406881077
5980 79TH ST,SACRAMENTO,95824,CA,2,1,868,Residential,2008-05-20,90000,38.518373,-121.411779,103.68663594470046
7607 ELDER CREEK RD,SACRAMENTO,95824,CA,3,1,924,Residential,2008-05-20,92000,38.51055,-121.414768,99.56709956709956
5028 14TH AVE,SACRAMENTO,95820,CA,2,1,610,Residential,2008-05-20,93675,38.53942,-121.446894,153.5655737704918
1069 ACACIA AVE,SACRAMENTO,95815,CA,2,1,1220,Residential,2008-05-20,98000,38.621998,-121.442238,80.32786885245902
5201 LAGUNA OAKS DR Unit 199,ELK GROVE,95758,CA,1,1,722,Condo,2008-05-20,98000,38.423251,-121.444489,135.73407202216066
3847 LAS PASAS WAY,SACRAMENTO,95864,CA,3,1,1643,Residential,2008-05-20,99000,38.588672,-121.373916,60.255629945222154
5201 LAGUNA OAKS DR Unit 172,ELK GROVE,95758,CA,1,1,722,Condo,2008-05-20,100000,38.423251,-121.444489,138.50415512465375
1121 CREEKSIDE WAY,GALT,95632,CA,3,1,1080,Residential,2008-05-20,106716,38.241514,-121.312199,98.81111111111112
5307 CABRILLO WAY,SACRAMENTO,95820,CA,3,1,1039,Residential,2008-05-20,111000,38.52712,-121.435348,106.8334937439846
3725 DON JULIO BLVD,NORTH HIGHLANDS,95660,CA,3,1,1051,Residential,2008-05-20,111000,38.67895,-121.379406,105.61370123691722
4803 MCCLOUD DR,SACRAMENTO,95842,CA,2,2,967,Residential,2008-05-20,114800,38.682279,-121.352817,118.717683557394
10542 SILVERWOOD WAY,RANCHO CORDOVA,95670,CA,3,1,1098,Residential,2008-05-20,120108,38.587156,-121.295778,109.3879781420765
6318 39TH AVE,SACRAMENTO,95824,CA,3,1,1050,Residential,2008-05-20,123225,38.518942,-121.430158,117.35714285714286
211 MCDANIEL CIR,SACRAMENTO,95838,CA,3,2,1110,Residential,2008-05-20,123750,38.636565,-121.460383,111.48648648648648
3800 LYNHURST WAY,NORTH HIGHLANDS,95660,CA,3,1,888,Residential,2008-05-20,125000,38.650445,-121.374861,140.76576576576576
6139 HERMOSA ST,SACRAMENTO,95822,CA,3,2,1120,Residential,2008-05-20,125000,38.514665,-121.480411,111.60714285714286
2505 RHINE WAY,ELVERTA,95626,CA,3,2,1080,Residential,2008-05-20,126000,38.717976,-121.407684,116.66666666666667
3692 PAYNE WAY,NORTH HIGHLANDS,95660,CA,3,1,957,Residential,2008-05-20,129000,38.66654,-121.378298,134.79623824451411
604 MORRISON AVE,SACRAMENTO,95838,CA,2,1,952,Residential,2008-05-20,134000,38.637678,-121.452476,140.7563025210084
648 SANTA ANA AVE,SACRAMENTO,95838,CA,3,2,1211,Residential,2008-05-20,135000,38.658478,-121.450409,111.47811725846408
14 ASHLEY OAKS CT,SACRAMENTO,95815,CA,3,2,1264,Residential,2008-05-20,135500,38.61779,-121.436765,107.1993670886076
3174 NORTHVIEW DR,SACRAMENTO,95833,CA,3,1,1080,Residential,2008-05-20,140000,38.623817,-121.477827,129.62962962962962
840 TRANQUIL LN,GALT,95632,CA,3,2,1266,Residential,2008-05-20,140000,38.270617,-121.299205,110.58451816745655
5333 PRIMROSE DR Unit 19A,FAIR OAKS,95628,CA,2,2,994,Condo,2008-05-20,142500,38.662785,-121.276272,143.36016096579476
1035 MILLET WAY,SACRAMENTO,95834,CA,3,2,1202,Residential,2008-05-20,143500,38.631056,-121.48508,119.38435940099833
3328 22ND AVE,SACRAMENTO,95820,CA,2,1,722,Residential,2008-05-20,145000,38.532727,-121.470783,200.83102493074793
8001 HARTWICK WAY,SACRAMENTO,95828,CA,4,2,1448,Residential,2008-05-20,145000,38.488623,-121.410582,100.13812154696133
7812 HARTWICK WAY,SACRAMENTO,95828,CA,3,2,1188,Residential,2008-05-20,145000,38.488611,-121.412808,122.05387205387206
4207 PAINTER WAY,NORTH HIGHLANDS,95660,CA,4,2,1183,Residential,2008-05-20,146000,38.692915,-121.367497,123.41504649196956
7458 WINKLEY WAY,SACRAMENTO,95822,CA,3,1,1320,Residential,2008-05-20,148500,38.487444,-121.491366,112.5
8354 SUNRISE WOODS WAY,SACRAMENTO,95828,CA,3,2,1117,Residential,2008-05-20,149000,38.473288,-121.3963,133.3930170098478
8116 COTTONMILL CIR,SACRAMENTO,95828,CA,3,2,1364,Residential,2008-05-20,150000,38.482876,-121.405912,109.97067448680352
4660 CEDARWOOD WAY,SACRAMENTO,95823,CA,4,2,1310,Residential,2008-05-20,150000,38.484834,-121.449316,114.50381679389314
9254 HARROGATE WAY,ELK GROVE,95758,CA,2,2,1006,Residential,2008-05-20,152000,38.420138,-121.412179,151.0934393638171
6716 TAREYTON WAY,CITRUS HEIGHTS,95621,CA,3,2,1104,Residential,2008-05-20,156000,38.693724,-121.307169,141.30434782608697
2028 ROBERT WAY,SACRAMENTO,95825,CA,2,1,810,Residential,2008-05-20,156000,38.609982,-121.419263,192.59259259259258
9346 AIZENBERG CIR,ELK GROVE,95624,CA,2,2,1123,Residential,2008-05-20,156000,38.41875,-121.370019,138.91362422083705
4524 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,1,904,Residential,2008-05-20,157788,38.67273,-121.359645,174.54424778761063
7140 BLUE SPRINGS WAY,CITRUS HEIGHTS,95621,CA,3,2,1156,Residential,2008-05-20,161653,38.720653,-121.302241,139.83823529411765
4631 11TH AVE,SACRAMENTO,95820,CA,2,1,1321,Residential,2008-05-20,161829,38.541965,-121.452132,122.50492051476155
3228 BAGGAN CT,ANTELOPE,95843,CA,3,2,1392,Residential,2008-05-20,165000,38.715346,-121.388163,118.53448275862068
8515 DARTFORD DR,SACRAMENTO,95823,CA,3,2,1439,Residential,2008-05-20,168000,38.448288,-121.420719,116.74774148714386
4500 TIPPWOOD WAY,SACRAMENTO,95842,CA,3,2,1159,Residential,2008-05-20,169000,38.69951,-121.359989,145.8153580672994
2460 EL ROCCO WAY,RANCHO CORDOVA,95670,CA,3,2,1671,Residential,2008-05-20,175000,38.591477,-121.31534,104.7277079593058
8244 SUNBIRD WAY,SACRAMENTO,95823,CA,3,2,1740,Residential,2008-05-20,176250,38.457654,-121.431381,101.29310344827586
5841 VALLEY VALE WAY,SACRAMENTO,95823,CA,3,2,1265,Residential,2008-05-20,179000,38.461283,-121.434322,141.50197628458497
7863 CRESTLEIGH CT,ANTELOPE,95843,CA,2,2,1007,Residential,2008-05-20,180000,38.710889,-121.358876,178.74875868917576
7129 SPRINGMONT DR,ELK GROVE,95758,CA,3,2,1716,Residential,2008-05-20,180400,38.417649,-121.420294,105.12820512820512
8284 RED FOX WAY,ELK GROVE,95758,CA,4,2,1685,Residential,2008-05-20,182000,38.417182,-121.397231,108.01186943620178
2219 EL CANTO CIR,RANCHO CORDOVA,95670,CA,4,2,1829,Residential,2008-05-20,184500,38.592383,-121.318669,100.87479496992893
8907 GEMWOOD WAY,ELK GROVE,95758,CA,3,2,1555,Residential,2008-05-20,185000,38.435471,-121.441173,118.97106109324758
5925 MALEVILLE AVE,CARMICHAEL,95608,CA,4,2,1120,Residential,2008-05-20,189000,38.666564,-121.325717,168.75
7031 CANEVALLEY CIR,CITRUS HEIGHTS,95621,CA,3,2,1137,Residential,2008-05-20,194000,38.718693,-121.303619,170.62445030782763
3949 WILDROSE WAY,SACRAMENTO,95826,CA,3,1,1174,Residential,2008-05-20,195000,38.543697,-121.366683,166.09880749574106
4437 MITCHUM CT,ANTELOPE,95843,CA,3,2,1393,Residential,2008-05-20,200000,38.704407,-121.36113,143.57501794687724
8151 QUAIL RIDGE CT,SACRAMENTO,95828,CA,3,2,1289,Residential,2008-05-20,205000,38.461296,-121.390858,159.03801396431342
4899 WIND CREEK DR,SACRAMENTO,95838,CA,4,2,1799,Residential,2008-05-20,205000,38.655887,-121.446119,113.95219566425791
6049 HAMBURG WAY,SACRAMENTO,95823,CA,4,3,1953,Residential,2008-05-20,205000,38.443253,-121.431992,104.96671786994368
4232 71ST ST,SACRAMENTO,95820,CA,2,1,723,Residential,2008-05-20,207000,38.536741,-121.42115,286.3070539419087
1889 COLD SPRINGS RD,PLACERVILLE,95667,CA,2,1,948,Residential,2008-05-20,211500,38.739774,-120.860243,223.1012658227848
5805 HIMALAYA WAY,CITRUS HEIGHTS,95621,CA,4,2,1578,Residential,2008-05-20,215000,38.696489,-121.328555,136.24841571609633
7944 SYLVAN OAK WAY,CITRUS HEIGHTS,95610,CA,3,2,1317,Residential,2008-05-20,215000,38.710388,-121.261096,163.24981017463932
6217 LEOLA WAY,SACRAMENTO,95824,CA,3,1,1360,Residential,2008-05-20,222381,38.513066,-121.451909,163.51544117647057
3035 BRUNNET LN,SACRAMENTO,95833,CA,3,2,1522,Residential,2008-05-20,225000,38.624762,-121.522775,147.8318002628121
3025 EL PRADO WAY,SACRAMENTO,95825,CA,4,2,1751,Residential,2008-05-20,225000,38.606603,-121.394147,128.49800114220446
9387 GRANITE FALLS CT,ELK GROVE,95624,CA,3,2,1465,Residential,2008-05-20,225000,38.419214,-121.348533,153.5836177474403
9257 CALDERA WAY,SACRAMENTO,95826,CA,4,2,1605,Residential,2008-05-20,228000,38.55821,-121.355022,142.05607476635515
